"7/1000","{479.5002446145401, 0.15813442621399576, 1079.125814475576, 0.1565745887570328}"
"1/125","{484.13441833616434, 0.15212893238903344, 1092.685373530765, 0.15286466438496202}"
"9/1000","{489.1895804917142, 0.14279947056081718, 1103.431978194307, 0.1600642534624102}"
"1/100","{494.4833057330514, 0.1301139075478677, 1114.9229269519913, 0.16210229890747246}"
"11/1000","{499.4323388458381, 0.1258614758583561, 1125.5653884778094, 0.16836624306577655}"
"3/250","{504.3638679845512, 0.11742985171595594, 1135.6757218109396, 0.16738281260696858}"
"13/1000","{509.5004918815668, 0.11331320931151487, 1144.5775987394331, 0.1686211993772637}"
"7/500","{514.6996324386414, 0.1088123899850558, 1153.5120274492692, 0.17446835713338757}"
"3/200","{519.5744333851575, 0.1099897250677589, 1161.4506200654187, 0.17922732084161036}"
"2/125","{524.5340999661104, 0.11152477823481284, 1168.8575500919917, 0.1970328471101326}"
"17/1000","{529.4893927238614, 0.11296146621654642, 1175.594757500883, 0.1877706241289505}"
"9/500","{534.167407826368, 0.11792898090438728, 1181.2661400995703, 0.18738220793816154}"
"19/1000","{539.1731462532572, 0.12193433691451774, 1186.3788946389816, 0.20255204153342887}"
"1/50","{543.6504312743863, 0.12406117263380194, 1191.0685416077927, 0.20926781319489735}"
"21/1000","{548.9484335719909, 0.12740680856426484, 1195.1986388507455, 0.19639449186438743}"
"11/500","{553.8870929070142, 0.13368098443505608, 1198.1852719769151, 0.20591149057577074}"
"23/1000","{558.6382595152794, 0.1390954454036928, 1201.6480595447501, 0.2141541431716864}"
"3/125","{563.3067927271146, 0.1403890303799688, 1202.5432510400535, 0.22122101096981048}"
"1/40","{568.1687443937701, 0.15147034544009988, 1204.206808699451, 0.22820779010943087}"
"13/500","{572.6735762612823, 0.14763401989020553, 1205.058433080067, 0.22266895013347957}"
"27/1000","{577.2449744155957, 0.15316808083066266, 1205.0837456631527, 0.2218621868467153}"
"7/250","{581.6561292952654, 0.16097898768238236, 1205.2173032185894, 0.21873918142002421}"
"29/1000","{586.544593116807, 0.16523714956002358, 1203.1530136330364, 0.23771186650914675}"
"3/100","{590.7411656986003, 0.17180044058661856, 1201.3698297416129, 0.2331816783594584}"
"31/1000","{595.6189678917169, 0.17442263577335854, 1198.4745546925858, 0.24355471346599955}"
"4/125","{599.6854204937969, 0.17973595529607694, 1194.9904393325771, 0.24564127109954742}"
"33/1000","{604.4188955630392, 0.1825924618573522, 1192.080325198614, 0.24220645651292597}"
"17/500","{608.9036667405859, 0.1970376792234438, 1186.9663085390007, 0.2580266312440918}"
"7/200","{613.256960448632, 0.20240123626925713, 1181.7986187896831, 0.24005407031325635}"
"9/250","{617.6236892140143, 0.21122020409815673, 1174.9767763046366, 0.2601522107155101}"
"37/1000","{622.1949268940541, 0.219122516840799, 1169.3442067643027, 0.2600736617532095}"
"19/500","{626.5977156589962, 0.22290149581881666, 1162.409026509209, 0.2541490212457227}"
"39/1000","{630.6803555736005, 0.23957602837451566, 1154.3045312504435, 0.2609430215817526}"
"1/25","{634.5229527113344, 0.23940653958081418, 1145.1133014659813, 0.2562783731691907}"
"41/1000","{638.8647483690363, 0.2601123142201233, 1135.7098115043607, 0.26720675160393204}"
